,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Colt Brennan,Hawaii,WAC,14,406,86,72.6,366,9.9,11.0,5,12,186.0,4.3
2,Brian Brohm,Louisville,Big East,11,199,47,63.6,45,9.7,10.0,0,5,159.1,1.0
3,John Beck,Brigham Young,MWC,12,289,50,69.3,-8,9.3,10.0,6,8,169.1,-0.2
4,JaMarcus Russell,LSU,SEC,13,232,52,67.8,142,9.1,9.7,1,8,167.0,2.7
5,Jared Zabransky,Boise State,WAC,13,191,98,66.3,197,9.0,9.3,6,8,162.6,2.0
6,Tyler Palko,Pitt,Big East,12,220,66,68.3,77,8.9,9.2,2,9,163.2,1.2
7,Kevin Kolb,Houston,CUSA,14,292,111,67.6,154,8.8,9.8,4,4,162.7,1.4
8,Erik Ainge,Tennessee,SEC,12,233,26,67.0,-102,8.6,8.5,1,9,151.9,-3.9
9,Bobby Reid,Oklahoma State,Big 12,13,148,119,55.4,500,8.5,8.4,5,11,148.1,4.2
10,Jordan Palmer,UTEP,CUSA,12,282,47,65.7,-86,8.4,8.1,1,14,149.6,-1.8
11,Andre Woodson,Kentucky,SEC,13,264,70,63.0,-137,8.4,9.1,1,7,154.5,-2.0
12,Adam Tafralis,San Jose State,WAC,13,181,90,65.6,224,8.3,8.7,2,7,155.1,2.5
13,Chase Holbrook,New Mexico State,WAC,12,396,80,70.0,-78,8.2,8.6,4,9,155.2,-1.0
14,Zac Taylor,Nebraska,Big 12,14,233,60,59.6,-32,8.2,8.6,1,8,146.1,-0.5
15,Troy Smith,Ohio State,Big Ten,13,203,72,65.3,204,8.2,9.2,1,6,161.9,2.8
16,John Stocco,Wisconsin,Big Ten,11,158,48,59.0,-79,8.2,8.4,1,6,143.9,-1.6
17,Chris Leak,Florida,SEC,14,232,77,63.6,30,8.1,7.7,3,13,144.9,0.4
18,Matt Grothe,South Florida,Big East,13,202,178,63.7,622,8.1,7.1,9,14,138.8,3.5
19,Colt McCoy,Texas,Big 12,13,217,68,68.2,170,8.1,8.9,2,7,161.8,2.5
20,Brandon Cox,Auburn,SEC,13,163,51,60.1,-177,8.1,7.6,1,9,138.7,-3.5
22,Nate Davis,Ball State,MAC,12,150,29,61.2,-48,8.1,8.1,0,8,146.7,-1.7
23,Matt Moore,Oregon State,Pac-10,14,229,77,60.6,-11,8.0,8.1,5,7,139.7,-0.1
24,Nate Longshore,California,Pac-10,13,227,28,60.2,-47,8.0,7.7,3,13,141.6,-1.7
25,Bryan Cupito,Minnesota,Big Ten,13,214,37,59.6,-69,7.9,7.9,0,9,140.8,-1.9
26,Paul Thompson,Oklahoma,Big 12,14,204,71,60.7,151,7.9,7.8,3,11,142.4,2.1
27,Riley Skinner,Wake Forest,ACC,14,171,52,65.8,-71,7.9,7.7,0,5,139.6,-1.4
28,Chase Daniel,Missouri,Big 12,13,287,147,63.5,379,7.8,8.0,4,10,145.1,2.6
29,Dan Lefevour,Central Michigan,MAC,14,247,132,63.7,521,7.8,8.0,7,10,146.2,3.9
30,Paul Smith,Tulsa,CUSA,13,233,101,66.6,288,7.8,7.5,8,9,141.0,2.9
31,Jeff Ballard,Texas Christian,MWC,13,190,110,61.9,423,7.8,7.9,8,5,138.1,3.8
32,John David Booty,USC,Pac-10,13,269,33,61.7,-53,7.7,8.1,1,9,144.0,-1.6
33,Will Proctor,Clemson,ACC,13,183,61,60.2,85,7.7,7.2,1,11,135.3,1.4
34,Julian Edelman,Kent State,MAC,11,134,169,55.4,658,7.7,6.5,7,11,124.4,3.9
35,Rudy Carpenter,Arizona State,Pac-10,13,184,84,55.4,69,7.6,7.1,0,14,133.7,0.8
36,Chad Henne,Michigan,Big Ten,13,203,47,61.9,-83,7.6,7.9,0,8,143.4,-1.8
37,Justin Willis,SMU,CUSA,11,182,132,67.4,354,7.6,8.5,3,6,158.4,2.7
38,Curtis Painter,Purdue,Big Ten,14,315,76,59.4,107,7.5,6.7,6,19,129.1,1.4
39,Drew Tate,Iowa,Big Ten,11,207,49,58.8,124,7.5,6.8,0,13,130.9,2.5
40,Graham Harrell,Texas Tech,Big 12,13,412,32,66.8,-66,7.4,7.8,2,11,145.5,-2.1
41,Brady Quinn,Notre Dame,Ind,13,289,82,61.9,71,7.3,8.2,2,7,146.7,0.9
43,Alex Brink,Washington State,Pac-10,12,241,78,60.9,8,7.3,7.1,2,10,133.1,0.1
44,Stephen McGee,Texas A&M,Big 12,13,194,146,62.0,666,7.3,7.8,4,2,134.9,4.6
45,Sean Glennon,Virginia Tech,ACC,13,170,63,56.3,-81,7.3,6.3,1,11,122.0,-1.3
46,Dustin Grutza,Cincinnati,Big East,12,137,85,60.9,246,7.3,5.5,0,13,123.5,2.9
47,Brett Ratliff,Utah,MWC,13,228,98,58.3,260,7.2,7.3,1,9,133.2,2.7
48,Sam Hollenbach,Maryland,ACC,13,203,51,61.9,10,7.2,6.6,2,11,131.0,0.2
49,Mike Teel,Rutgers,Big East,13,164,13,55.4,-50,7.2,6.0,0,13,120.6,-3.8
50,Phil Horvath,Northern Illinois,MAC,11,157,31,58.4,-109,7.2,6.5,0,9,125.5,-3.5
51,Jeff Rowe,Nevada,WAC,12,172,93,64.7,208,7.2,7.1,4,8,140.0,2.2
52,Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,12,142,111,56.8,333,7.2,5.2,5,14,115.0,3.0
53,Bernard Morris,Marshall,CUSA,11,116,82,61.7,324,7.2,5.1,2,12,123.1,4.0
54,John Parker Wilson,Alabama,SEC,13,216,82,57.0,83,7.1,6.9,0,10,126.5,1.0
55,Caleb Hanie,Colorado State,MWC,12,209,108,61.1,55,7.1,6.2,4,12,124.3,0.5
56,Chris Nickson,Vanderbilt,SEC,12,160,146,54.8,694,7.1,6.2,9,13,122.8,4.8
57,Lester Ricard,Tulane,CUSA,12,229,60,57.3,-112,7.0,6.8,0,10,125.8,-1.9
58,James Pinkney,East Carolina,CUSA,13,232,105,58.4,216,7.0,6.5,4,10,122.3,2.1
59,Luke Getsy,Akron,MAC,12,199,58,52.4,-142,7.0,6.7,0,11,121.1,-2.4
60,Matt Ryan,Boston College,ACC,12,263,51,61.6,-35,6.9,6.5,4,10,126.4,-0.7
61,Adam Dimichele,Temple,Ind,11,135,73,61.4,-184,6.9,5.4,0,12,123.4,-2.5
62,Martin Hankins,Memphis,CUSA,12,226,33,59.9,-12,6.8,6.2,0,13,125.6,-0.4
64,Bret Meyer,Iowa State,Big 12,12,211,137,56.4,177,6.8,6.0,6,12,117.8,1.3
65,Zac Champion,Louisiana Tech,WAC,13,190,68,52.2,88,6.8,5.3,1,18,111.9,1.3
66,Mike Kokal,Miami (OH),MAC,11,208,136,58.6,277,6.8,6.6,3,8,124.3,2.0
67,Steven Wichman,Idaho,WAC,12,155,52,48.6,33,6.8,5.3,1,14,104.9,0.6
68,Drew Weatherford,Florida State,ACC,12,177,57,55.7,-14,6.8,6.0,1,11,118.1,-0.2
69,Clint Marks,Middle Tennessee State,Sun Belt,13,171,52,60.4,-46,6.8,5.9,1,9,120.3,-0.9
70,Matthew Stafford,Georgia,SEC,13,135,47,52.7,191,6.8,5.1,3,13,109.0,4.1
71,Shawn Bell,Baylor,Big 12,9,241,27,62.9,-137,6.7,6.6,0,10,130.7,-5.1
72,Dennis Dixon,Oregon,Pac-10,12,197,94,61.2,442,6.7,5.4,2,14,120.7,4.7
73,Drew Stanton,Michigan State,Big Ten,11,164,110,61.0,445,6.7,5.9,5,10,124.7,4.0
74,Joe Dailey,North Carolina,ACC,10,112,50,57.4,61,6.7,5.2,1,10,115.7,1.2
75,Josh Freeman,Kansas State,Big 12,11,140,54,51.9,-21,6.6,4.5,2,15,103.5,-0.4
76,Rusty Smith,Florida Atlantic,Sun Belt,12,108,25,55.7,-110,6.6,5.4,0,8,113.3,-4.4
77,Patrick Cowan,UCLA,Pac-10,12,145,54,52.5,108,6.5,5.8,2,9,113.4,2.0
78,Kellen Lewis,Indiana,Big Ten,11,190,124,54.9,441,6.4,6.3,5,7,118.1,3.6
79,Chase Clement,Rice,CUSA,9,153,107,57.7,481,6.4,7.2,4,5,134.2,4.5
80,Steven Moffett,UCF,CUSA,10,119,31,55.3,-7,6.4,6.1,0,5,117.1,-0.2
81,Anthony Morelli,Penn State,Big Ten,13,208,39,53.9,-88,6.3,5.9,0,8,111.9,-2.3
82,Thaddeus Lewis,Duke,ACC,12,180,99,52.9,-74,6.3,4.8,1,16,106.9,-0.7
83,Jeremy Young,Southern Mississippi,CUSA,14,161,81,57.3,224,6.3,6.2,4,6,120.0,2.8
85,Anthony Turner,Bowling Green State,MAC,10,144,141,57.1,480,6.3,6.3,5,5,120.8,3.4
86,Willie Tuitama,Arizona,Pac-10,10,118,35,55.9,-166,6.3,5.7,0,6,114.3,-4.7
87,Perry Patterson,Syracuse,Big East,12,158,82,52.7,-174,6.2,6.4,1,4,115.4,-2.1
88,Karsten Sween,Wyoming,MWC,9,128,55,60.4,-88,6.2,5.3,2,8,118.5,-1.6
89,Omar Haugabook,Troy,Sun Belt,13,241,140,61.3,313,6.1,5.2,5,17,121.6,2.2
90,Rocky Hinds,UNLV,MWC,12,194,49,54.0,-49,6.0,4.8,1,13,104.4,-1.0
91,Daniel Evans,North Carolina State,ACC,12,163,37,53.1,-13,6.0,4.8,0,11,102.8,-0.4
92,Reggie Ball,Georgia Tech,ACC,13,135,122,44.4,354,6.0,5.2,2,14,107.2,2.9
93,Corey Leonard,Arkansas State,Sun Belt,12,109,116,49.1,331,6.0,5.0,2,8,103.8,2.9
94,Ryan Cubit,Western Michigan,MAC,11,224,34,61.4,-60,5.9,5.1,0,13,117.9,-1.8
95,Jerry Babb,Louisiana,Sun Belt,12,140,104,53.4,359,5.9,4.1,6,14,103.3,3.5
96,Brent Schaeffer,Ole Miss,SEC,12,115,94,47.1,100,5.9,4.8,1,10,100.7,1.1
97,Bernard Jackson,Colorado,Big 12,12,108,155,49.3,677,5.9,5.1,7,7,103.3,4.4
98,Juice Williams,Illinois,Big Ten,12,103,154,39.5,576,5.7,4.8,2,9,91.9,3.7
99,Tom Brandstater,Fresno State,WAC,11,146,32,54.5,86,5.6,4.2,1,14,106.7,2.7
100,Andy Schmitt,Eastern Michigan,MAC,9,131,107,61.5,461,5.5,4.5,4,6,105.6,4.3
101,Austen Everson,Ohio,MAC,13,137,104,54.2,357,5.4,4.5,2,8,102.0,3.4
102,Jameel Sewell,Virginia,ACC,11,143,95,57.9,200,5.4,4.7,4,6,105.4,2.1
103,Josh Padrick,Florida International,Sun Belt,12,213,57,54.9,-146,5.2,3.8,0,14,95.5,-2.6
104,David Pevoto,Army,Ind,10,106,36,54.9,14,5.2,2.6,1,14,94.7,0.4
106,Aaron Opelt,Toledo,MAC,9,102,80,54.3,261,4.7,4.1,4,5,98.6,3.3
