,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
1,Dan Sheldon,Northern Illinois,MAC,12,40,1010,21.5,9,7,47
2,Roosevelt Bynes,Florida Atlantic,Sun Belt,10,27,628,22.4,4,1,28
3,Jason Hill,Washington State,Pac-10,11,45,1007,22.4,12,,45
4,Chad Jackson,Florida,SEC,12,29,649,21.6,6,1,30
5,Ernie Wheelwright,Minnesota,Big Ten,12,30,654,21.8,7,,30
6,Todd Blythe,Iowa State,Big 12,12,39,839,21.0,9,1,40
7,Johnny Peyton,South Florida,CUSA,11,22,469,21.3,2,,22
8,Tramissian Davis,Louisiana Tech,WAC,12,25,527,21.1,3,,25
9,D'Juan Woods,Oklahoma State,Big 12,12,33,685,20.1,6,1,34
10,Bradley Chavez,UAB,CUSA,12,24,497,20.7,2,0,24
11,Johnnie Lee Higgins Jr.,UTEP,WAC,12,34,700,20.6,10,,34
12,Roddy White,UAB,CUSA,12,71,1452,20.5,14,,71
13,Todd Watkins,Brigham Young,MWC,11,52,1038,19.6,6,1,53
14,Troy Williamson,South Carolina,SEC,11,43,865,18.4,7,4,47
15,Leonard Pope,Georgia,SEC,12,25,482,19.3,6,,25
16,Greg Lee,Pitt,Big East,12,68,1297,19.1,10,,68
17,Reggie Harrell,Texas Christian,CUSA,9,32,595,18.6,4,,32
18,Dustin Osborn,Colorado State,MWC,11,30,555,18.5,3,,30
19,Robert Meachem,Tennessee,SEC,13,25,459,16.4,4,3,28
20,Josh Hyman,Virginia Tech,ACC,13,27,507,18.1,5,1,28
22,Jason Samples,Troy,Sun Belt,12,38,708,18.2,6,1,39
23,Chris Bush,Tulane,CUSA,11,37,666,17.1,7,2,39
24,Steve Sanders,Bowling Green State,MAC,12,55,1004,17.9,8,1,56
25,Scott Mayle,Ohio,MAC,10,33,653,14.2,4,13,46
26,Calvin Johnson,Georgia Tech,ACC,12,48,847,16.6,8,3,51
27,Erik Gill,Pitt,Big East,12,25,433,17.3,4,,25
28,T.J. Acree,Boise State,WAC,12,55,947,17.2,8,,55
29,Drouzon Quillen,Louisiana-Monroe,Sun Belt,11,44,758,17.2,7,,44
