,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
1,Anthony Alridge,Houston,CUSA,14,95,1233,10.8,9,19,114
2,Rashard Mendenhall,Illinois,Big Ten,12,78,804,8.9,6,12,90
3,Felix Jones,Arkansas,SEC,14,154,1275,7.5,9,15,169
4,Nate Ilaoa,Hawaii,WAC,13,131,1827,9.2,18,67,198
5,Pat White,West Virginia,Big East,12,165,1219,7.4,18,,165
6,C.J. Spiller,Clemson,ACC,13,129,1148,7.8,12,19,148
7,Devin Moore,Wyoming,MWC,12,80,687,6.8,3,21,101
8,Reggie Campbell,Navy,Ind,13,99,950,8.5,7,13,112
9,Steve Slaton,West Virginia,Big East,13,248,2104,7.7,18,27,275
10,Mike Goodson,Texas A&M,Big 12,13,127,960,6.7,4,17,144
11,Dantrell Savage,Oklahoma State,Big 12,11,126,868,6.5,8,8,134
12,Lamarcus Coker,Tennessee,SEC,11,108,864,7.1,6,13,121
13,Jeremiah Johnson,Oregon,Pac-10,13,103,744,6.2,10,17,120
14,Garrett Wolfe,Northern Illinois,MAC,13,309,2177,6.5,19,28,337
15,Ian Johnson,Boise State,WAC,12,277,1768,6.2,25,8,285
16,Yonus Davis,San Jose State,WAC,13,163,1093,6.4,7,7,170
17,Ahmad Bradshaw,Marshall,CUSA,12,249,1652,6.2,21,17,266
18,Marshawn Lynch,California,Pac-10,13,223,1684,6.6,15,34,257
19,Shannon Woods,Texas Tech,Big 12,13,152,1498,6.6,12,75,227
20,Jaycen Taylor,Purdue,Big Ten,14,113,938,6.7,5,26,139
22,Keith Toston,Oklahoma State,Big 12,12,106,723,6.2,8,10,116
23,Darren McFadden,Arkansas,SEC,14,284,1796,6.1,15,11,295
24,Jon Cornish,Kansas,Big 12,12,250,1651,6.0,9,24,274
25,James Davis,Clemson,ACC,13,203,1302,6.2,17,6,209
26,Pierre Thomas,Illinois,Big Ten,12,131,834,5.8,6,12,143
27,Keegan Herring,Arizona State,Pac-10,13,94,619,6.1,6,8,102
28,Javon Ringer,Michigan State,Big Ten,8,86,593,5.9,2,14,100
29,Calvin Dawson,Louisiana-Monroe,Sun Belt,12,213,1365,5.8,11,21,234
30,Ontario Sneed,Central Michigan,MAC,13,135,1179,6.3,11,52,187
31,Daniel Porter,Louisiana Tech,WAC,12,82,516,5.7,3,9,91
32,Dwayne Wright,Fresno State,WAC,12,261,1683,5.8,12,29,290
33,Donald Brown,Connecticut,Big East,12,161,962,5.5,9,13,174
34,Kolby Smith,Louisville,Big East,13,154,1079,6.1,7,24,178
35,Hugh Charles,Colorado,Big 12,12,139,864,5.8,1,9,148
36,Terry Caulley,Connecticut,Big East,10,120,791,5.7,4,19,139
37,Leon Patton,Kansas State,Big 12,12,108,735,6.2,6,10,118
38,Mike Hamilton,Oklahoma State,Big 12,12,97,594,5.7,4,7,104
39,Ryan Torain,Arizona State,Pac-10,13,223,1434,6.0,10,18,241
40,Jalen Parmele,Toledo,MAC,12,207,1259,5.6,8,16,223
41,Tony Temple,Missouri,Big 12,13,193,1097,5.5,7,6,199
43,Chris Wells,Ohio State,Big Ten,13,104,592,5.6,7,2,106
44,Ray Rice,Rutgers,Big East,13,335,1824,5.4,20,4,339
45,Tyrell Fenroy,Louisiana,Sun Belt,12,223,1373,5.8,11,15,238
46,Adrian Peterson,Oklahoma,Big 12,7,188,1148,5.8,13,10,198
47,Jonathan Stewart,Oregon,Pac-10,13,183,1125,5.5,11,20,203
48,Tyrell Sutton,Northwestern,Big Ten,12,189,1261,5.5,7,40,229
49,Brandon Jackson,Nebraska,Big 12,14,188,1302,5.9,10,33,221
50,Matt Forte,Tulane,CUSA,9,163,1219,6.4,10,28,191
51,Jamaal Charles,Texas,Big 12,12,156,1014,5.8,8,18,174
52,Andre Brown,North Carolina State,ACC,12,124,710,5.3,4,9,133
53,Justin Forsett,California,Pac-10,13,119,742,5.7,5,12,131
54,Tim Tebow,Florida,SEC,14,89,469,5.3,8,,89
55,Quinton Smith,Rice,CUSA,13,211,1506,6.0,12,40,251
56,Aaron Brown,Texas Christian,MWC,12,154,1256,6.7,10,34,188
57,Marlon Lucky,Nebraska,Big 12,14,141,1111,6.4,6,32,173
58,Antone Smith,Florida State,ACC,11,88,630,5.8,5,21,109
59,Antonio Pittman,Ohio State,Big Ten,13,242,1360,5.3,14,14,256
60,Reggie Arnold,Arkansas State,Sun Belt,12,209,1092,5.1,4,4,213
61,Jackie Battle,Houston,CUSA,13,184,956,5.1,15,2,186
62,Adam Ballard,Navy,Ind,12,154,816,5.2,3,2,156
64,Chad Hall,Air Force,MWC,12,155,901,5.4,6,11,166
65,P.J. Hill,Wisconsin,Big Ten,13,311,1766,5.4,16,18,329
66,Tashard Choice,Georgia Tech,ACC,14,297,1571,5.1,12,12,309
67,Damion Fletcher,Southern Mississippi,CUSA,13,276,1530,5.2,11,18,294
68,Tony Hunt,Penn State,Big Ten,13,277,1645,5.4,14,27,304
69,Amir Pinnix,Minnesota,Big Ten,13,252,1410,5.3,10,16,268
70,Darius Walker,Notre Dame,Ind,13,255,1658,5.3,8,56,311
71,Curtis Brown,Brigham Young,MWC,13,201,1576,6.0,10,62,263
72,LaRod Stephens-Howling,Pitt,Big East,11,178,1124,5.7,10,19,197
73,Patrick Jackson,Louisiana Tech,WAC,12,170,1035,5.4,7,22,192
74,Cory Boyd,South Carolina,SEC,12,164,1229,6.2,10,35,199
75,Damian Sims,Iowa,Big Ten,13,132,797,5.6,6,10,142
76,Michael Hart,Michigan,Big Ten,13,318,1687,5.0,14,17,335
77,Kalvin McRae,Ohio,MAC,14,258,1532,5.3,16,29,287
78,Rodney Ferguson,New Mexico,MWC,13,252,1525,5.4,9,28,280
79,Chris Markey,UCLA,Pac-10,13,227,1368,5.2,2,35,262
80,Courtney Tennial,Tulsa,CUSA,13,171,1026,5.5,16,15,186
81,Kregg Lumpkin,Georgia,SEC,13,162,914,5.1,7,17,179
82,Kory Sheets,Purdue,Big Ten,14,158,993,5.3,13,28,186
83,Deshawn Wynn,Florida,SEC,14,143,757,5.1,6,6,149
85,Stevie Hicks,Iowa State,Big 12,8,107,545,4.8,2,7,114
86,Stevie Hicks Jr.,Iowa State,Big 12,8,107,545,4.8,2,7,114
87,Mell Holliday,Colorado,Big 12,12,105,512,4.9,2,,105
88,Brad Lester,Auburn,SEC,12,104,597,5.4,10,6,110
89,Luke Lippincott,Nevada,WAC,12,94,491,4.8,9,8,102
90,Evan Robertson,North Texas,Sun Belt,12,78,399,5.0,2,2,80
91,Robert Hubbard,Nevada,WAC,12,209,1239,5.3,8,24,233
92,Kenny Cattouse,Troy,Sun Belt,12,168,907,4.9,4,16,184
93,Chris Bullock,Bowling Green State,MAC,11,160,888,5.1,4,14,174
94,Chris Nickson,Vanderbilt,SEC,12,146,694,4.8,9,,146
95,Rafael Little,Kentucky,SEC,9,140,1065,6.2,5,31,171
96,Brandon West,Western Michigan,MAC,13,131,729,5.0,3,16,147
97,Kenneth Moore,Wake Forest,ACC,14,105,821,6.0,3,32,137
98,Paul Mosley,Baylor,Big 12,11,100,601,4.9,7,23,123
99,Fui Vakapuna,Brigham Young,MWC,12,92,532,5.2,11,11,103
100,Branden Ore,Virginia Tech,ACC,12,241,1351,5.2,17,18,259
101,Lance Ball,Maryland,ACC,13,174,875,4.7,8,11,185
102,Chauncey Washington,USC,Pac-10,13,157,837,5.0,9,9,166
103,Louis Rankin,Washington,Pac-10,12,142,741,4.8,4,13,155
104,Mike Davis,South Carolina,SEC,12,100,568,5.1,6,11,111
106,A'Mod Ned,Florida International,Sun Belt,10,94,586,5.3,2,17,111
107,Dennis Dixon,Oregon,Pac-10,12,94,442,4.7,2,,94
108,Jacob Hester,LSU,SEC,13,94,709,5.5,9,35,129
109,Javarris James,Miami (FL),ACC,13,175,1002,5.2,5,17,192
110,Keon Lattimore,Maryland,ACC,13,160,953,5.3,3,20,180
111,Delone Carter,Syracuse,Big East,12,156,759,4.6,4,9,165
112,Dwight Tardy,Washington State,Pac-10,12,145,774,4.8,5,17,162
113,Stephen McGee,Texas A&M,Big 12,13,146,678,4.6,4,1,147
114,Lonta Hobbs,Texas Christian,MWC,10,145,813,5.1,7,15,160
115,Jacobe Kendrick,Air Force,MWC,11,84,393,4.6,3,2,86
116,Kevin Smith,UCF,CUSA,9,206,1092,4.8,7,23,229
117,Kenny Irons,Auburn,SEC,11,198,971,4.7,4,10,208
118,L.V. Whitworth,Boston College,ACC,13,174,1018,5.0,4,30,204
119,Allen Patrick,Oklahoma,Big 12,12,169,761,4.5,4,,169
120,Chase Clement,Rice,CUSA,9,107,481,4.5,4,,107
121,Patrick Perry,San Jose State,WAC,13,102,473,4.5,7,3,105
122,Brian Leonard,Rutgers,Big East,13,93,717,5.5,5,38,131
123,Re'quan Boyette,Duke,ACC,12,87,437,4.6,2,9,96
124,Yvenson Bernard,Oregon State,Pac-10,13,296,1583,4.7,13,43,339
125,Eugene Gross,Middle Tennessee State,Sun Belt,13,202,1009,4.6,11,16,218
127,Albert Young,Iowa,Big Ten,13,178,1004,4.8,8,30,208
